Fichier,Nombre_generations,Methode,Max_fitness,Temps_execution
knapsack1.csv,5,A,-10,0.0010006427764892578
knapsack1.csv,10,A,400,0.0010023117065429688
knapsack1.csv,15,A,200,0.0020020008087158203
knapsack1.csv,20,A,400,0.0030028820037841797
knapsack1.csv,25,A,200,0.002518892288208008
knapsack1.csv,30,A,400,0.0030035972595214844
knapsack1.csv,35,A,400,0.004003286361694336
knapsack1.csv,40,A,400,0.0030031204223632812
knapsack1.csv,45,A,400,0.0035054683685302734
knapsack1.csv,50,A,400,0.004506349563598633
knapsack1.csv,55,A,400,0.005506277084350586
knapsack1.csv,60,A,400,0.006021022796630859
knapsack1.csv,65,A,400,0.005510091781616211
knapsack1.csv,70,A,400,0.007508277893066406
knapsack1.csv,75,A,400,0.006005287170410156
knapsack1.csv,80,A,400,0.0066602230072021484
knapsack1.csv,85,A,400,0.008036375045776367
knapsack1.csv,90,A,400,0.007043600082397461
knapsack1.csv,95,A,400,0.0105133056640625
knapsack1.csv,100,A,400,0.011030197143554688
knapsack1.csv,5,B,400,0.0
knapsack1.csv,10,B,400,0.0010004043579101562
knapsack1.csv,15,B,400,0.0015027523040771484
knapsack1.csv,20,B,400,0.0020897388458251953
knapsack1.csv,25,B,400,0.0035181045532226562
knapsack1.csv,30,B,400,0.0035161972045898438
knapsack1.csv,35,B,400,0.0052297115325927734
knapsack1.csv,40,B,400,0.004583120346069336
knapsack1.csv,45,B,400,0.004438877105712891
knapsack1.csv,50,B,400,0.005736589431762695
knapsack1.csv,55,B,400,0.006004810333251953
knapsack1.csv,60,B,400,0.006170749664306641
knapsack1.csv,65,B,400,0.008574724197387695
knapsack1.csv,70,B,400,0.006508827209472656
knapsack1.csv,75,B,400,0.007523059844970703
knapsack1.csv,80,B,400,0.008017301559448242
knapsack1.csv,85,B,400,0.009044647216796875
knapsack1.csv,90,B,400,0.010776281356811523
knapsack1.csv,95,B,400,0.010217666625976562
knapsack1.csv,100,B,400,0.009495973587036133
knapsack2.csv,5,A,310,0.0
knapsack2.csv,10,A,310,0.0010013580322265625
knapsack2.csv,15,A,125,0.0015039443969726562
